Simulation	Age_MA	CO2_?280ppmv	Solar_Radiation_W	Surface_temperature	Precipitation	Stage
1	540	28	1302.2	26.4	1301	
2	530	27	1303.29	26.3	1311	
3	520	23	1304.38	26	1324	
4	510	23	1305.47	25.9	1316	
5	500	25	1306.56	26	1329	
6	490	25	1307.65	26.3	1346	
7	480	24	1308.74	26.7	1366	
8	470	23	1309.83	26.5	1358	
9	460	16	1310.92	24.1	1286	
10	450	6	1312	19.2	1177	
11	440	6	1313.09	18.4	1144	
12	430	7	1314.18	21.2	1233	
13	420	6	1315.27	21.3	1252	Lochkovian
14	410	8	1316.36	21.8	1238	Pragian
15	400	9	1317.45	23	1258	Emsian
16	390	18	1318.54	25.1	1334	Eifelian
17	380	15	1319.63	25.1	1329	Frasnian
18	370	11	1320.71	22.9	1270	Famennian
19	360	8	1321.8	20.8	1202	
20	350	8	1322.89	19.8	1187	Tournaisian
21	340	8	1323.98	20.2	1200	Visean
22	330	7	1325.07	19.2	1159	Serpukhovian
23	320	6	1326.16	17.5	1102	Bashkirian
24	310	2.8	1327.25	13.5	1014	Moscovian
25	300	3.5	1328.34	15.8	1070	Gzhelian
26	290	2.3	1329.42	12.5	970	Sakmarian
27	280	3	1330.51	15.2	1022	Kungurian
28	270	6.5	1331.6	19.2	1090	Wordian
29	260	10	1332.69	22	1152	Capitanian
30	250	25	1333.78	25.8	1195	Induan
31	240	28	1334.87	25.5	1162	Ladinian
32	230	24	1335.96	25.1	1162	Carnian
33	220	20	1337.05	24.7	1179	Norian
34	210	20	1338.14	24.2	1152	Rhaetian
35	200	17	1339.22	22.9	1101	Hettangian
36	190	10	1340.31	20.3	1110	
37	180	10	1341.4	19.8	1087	
38	170	7	1342.49	19.1	1138	
39	160	6	1343.58	19.4	1127	
40	150	7	1344.67	19.8	1127	
41	140	10	1345.76	20.6	1135	
42	130	9	1346.85	21.3	1176	
43	120	9	1347.93	22.3	1212	
44	110	9	1349.02	23	1235	
45	100	9	1350.11	23.8	1259	
46	90	8	1351.2	24.2	1276	
47	80	7	1352.29	24.3	1284	
48	70	8	1353.38	23.4	1208	
49	60	6.5	1354.47	22.3	1194	
50	50	7	1355.56	22.6	1211	
51	40	4.9	1356.64	20.2	1148	
52	30	2.6	1357.73	16.1	1044	
53	20	2.6	1358.82	15.6	1037	
54	10	2.6	1359.91	15.6	1033	
55	0	1	1360.89	14.3	1048	
