"","collection_no","collection_name","geocomments","stratcomments","early_interval","late_interval","loc_id","ref_id","locname","lat","lng","primary_reference","bibliographic_citation","projects","max_ma","min_ma","stage","stage_id","paleolng_scotese2016","paleolat_scotese2016"
"1",69411,"Cape Tumul, Olenek River, upper Tumul Formation, Yakutiya","northern near-platform slope of the Lena-Anabar Depression","upper part of the formation, T. efimovae Zone","Rhaetian","Rhaetian",121,19983,"Cape Tumul",73,119.817,"Kazakov, A. M., 1992. Stratigraphy of Norian and Rhaetian deposits in ...","Kazakov, A. M., 1992. Stratigraphy of Norian and Rhaetian deposits in the northern Middle Siberia//Russian Geology and Geophysics.","pbdb",208.5,201.3,"Rhaetian",58,-46.5579906373931,84.613912513578
"2",69416,"Buur River Basin, upper Tumul Formation, Yakutiya","northern near-platform slope of the Lena-Anabar Depression","T. efimovae zone","Rhaetian","Rhaetian",109,19983,"Buur River Basin",71.5,120,"Kazakov, A. M., 1992. Stratigraphy of Norian and Rhaetian deposits in ...","Kazakov, A. M., 1992. Stratigraphy of Norian and Rhaetian deposits in the northern Middle Siberia//Russian Geology and Geophysics.","pbdb",208.5,201.3,"Rhaetian",58,-49.0588195597612,86.1015941114826
"3",69417,"Buor Eyekit River Basin, Bulunkan Formation, Yakutiya","southern near-platform slope of the Lena-Anabar Depression","T. efimovae Zone","Rhaetian","Rhaetian",98,19983,"Buor Eyekit River Basin",70.7167,125.533,"Kazakov, A. M., 1992. Stratigraphy of Norian and Rhaetian deposits in ...","Kazakov, A. M., 1992. Stratigraphy of Norian and Rhaetian deposits in the northern Middle Siberia//Russian Geology and Geophysics.","pbdb",208.5,201.3,"Rhaetian",58,-78.0539523494671,86.0862589067735
"4",69418,"Kystyk-Khai-Yur'age River area, Bulunkan Formation, Yakutiya","southern near-platform slope of the Lena-Anabar Depression","T. efimovae zone","Rhaetian","Rhaetian",331,19983,"Kystyk-Khai-Yur'age River area",71.0667,123.233,"Kazakov, A. M., 1992. Stratigraphy of Norian and Rhaetian deposits in ...","Kazakov, A. M., 1992. Stratigraphy of Norian and Rhaetian deposits in the northern Middle Siberia//Russian Geology and Geophysics.","pbdb",208.5,201.3,"Rhaetian",58,-65.8133315816923,86.2168276542472
"5",69422,"Chubukulakh River Basin, upper Karadan Formation, Yakutiya",NA,"Efimovae Zone","Rhaetian","Rhaetian",136,19983,"Chubukulakh River Basin",70.8167,127.667,"Kazakov, A. M., 1992. Stratigraphy of Norian and Rhaetian deposits in ...","Kazakov, A. M., 1992. Stratigraphy of Norian and Rhaetian deposits in the northern Middle Siberia//Russian Geology and Geophysics.","pbdb",208.5,201.3,"Rhaetian",58,-83.876500526541,85.5175560840264
"6",69448,"SW Verkhoyansk Mountains (Lepiske and Nuora River Basins), Kybytygas Formation",NA,"Efimovae Zone","Rhaetian","Rhaetian",567,19983,"SW Verkhoyansk Mountains (Lepiske and Nuora River Basins)",64.6167,128.917,"Kazakov, A. M., 1992. Stratigraphy of Norian and Rhaetian deposits in ...","Kazakov, A. M., 1992. Stratigraphy of Norian and Rhaetian deposits in the northern Middle Siberia//Russian Geology and Geophysics.","pbdb",208.5,201.3,"Rhaetian",58,-164.745071658726,84.9153440990533
"7",128043,"Interfluve between El'ga and Malogo Selerikan Rivers, Indigirka Basin",NA,"Given as ""Norian-Rhaetian"" but only because there was debate at the time whether the Rhaetian was a separate stage.","Rhaetian","Rhaetian",231,41832,"Interfluve between El'ga and Malogo Selerikan Rivers",63.9,140.133,"Dagys, A. S., 1965. //Triasovye Brakhiopody Sibiri....","Dagys, A. S., 1965. //Triasovye Brakhiopody Sibiri.","pbdb",208.5,201.3,"Rhaetian",58,-146.263624244095,80.5296989263585
"8",128136,"Selerikan River, Indigirka river basin",NA,"Given as ""Norian-Rhaetian"" but only because there was debate at the time whether the Rhaetian was a separate stage.","Rhaetian","Rhaetian",524,41832,"Selerikan River",63.9,140.133,"Dagys, A. S., 1965. //Triasovye Brakhiopody Sibiri....","Dagys, A. S., 1965. //Triasovye Brakhiopody Sibiri.","pbdb",208.5,201.3,"Rhaetian",58,-146.263624244095,80.5296989263585
"9",166680,"Kavakchan River, northern Preokhotsk",NA,NA,"Norian","Rhaetian",248,54385,"Kavakchan River",59.64,144.36,"Sobolev, E. S., 1989. Triasovye nautilidy severo-vostochnoy Azii//Akad...","Sobolev, E. S., 1989. Triasovye nautilidy severo-vostochnoy Azii//Akademiya Nauk SSSR, Sibirskoe Otdelenie Trudy Instituta Geologii I Geofiziki.","pbdb",228,201.3,"Rhaetian",58,-156.345017404514,76.2683003497619
"10",166696,"Khachalycha River, Ayan-Yuryakh basin",NA,"Lower part of Monotis ochotica zone","Norian","Rhaetian",264,54385,"Khachalycha River",62.6,147.5,"Sobolev, E. S., 1989. Triasovye nautilidy severo-vostochnoy Azii//Akad...","Sobolev, E. S., 1989. Triasovye nautilidy severo-vostochnoy Azii//Akademiya Nauk SSSR, Sibirskoe Otdelenie Trudy Instituta Geologii I Geofiziki.","pbdb",228,201.3,"Rhaetian",58,-142.301371329867,77.0529148185738
"11",177719,"Tarynnakh River (upper Begidzhan river)",NA,NA,"Rhaetian","Rhaetian",583,58784,"Tarynnakh River",66.83,126.25,"Vavilov, M. N., 1986. Novye i redkie Ammonoidei srednego i pozdnego Tr...","Vavilov, M. N., 1986. Novye i redkie Ammonoidei srednego i pozdnego Triasa sredney Sibiri//Akademiya Nauk SSSR, Sibirskoe Otlodenie, Trudy Instituta Geologii i Geofiziki.","pbdb",208.5,201.3,"Rhaetian",58,-145.138877125491,86.9962458496356
"12",192142,"Уренгойский район, рэт","","Аргиллиты, темно-серые с прослоями песчаников и конгламиратов, в средней части породы зеленовато-серые с пропластками углистых аргиллитов; Песчаники серые с пачками аргиллитов и мелко-среднегалечных конгломератов","Rhaetian","Rhaetian",728,1000002,"Уренгойский район",66.0775,77.9258,"Решение 6-го Межведомственного стратиграфического совещания по рассмот...","Решение 6-го Межведомственного стратиграфического совещания по рассмотрению и принятию уточненных стратиграфических схем мезозойских отложений Западной Сибири, Новосибирск, 2003– Новосибирск: СНИИГГиМС, 2004. – 114 с., прил. 3 на 31 листе.г.
","paleosib",208.5,201.3,"Rhaetian",58,33.1095643575258,74.1674291012902
